X,Y,wind_id,GID_0,turbines,landscape.area,water,urban,power
10467047.2124106,-4029340.98003595,32818,AUS,5,5.18028719475794,0,0,6.57252066169396
10463425.7966453,-4034104.43346877,32819,AUS,58,59.1389654079788,0,0,107.037626686477
10470011.9870959,-4027799.86320758,32820,AUS,4,4.02693098415089,0,0,
10466329.4627276,-4024984.12782024,32821,AUS,23,24.2924820333526,0,0,47.5643135115161
10468717.2643811,-4024100.6913361,32822,AUS,5,5.18581386087686,0,0,6.56616777840238
10465533.5081259,-4023315.41233231,32823,AUS,2,3.08256137864208,0,0,
10463390.2609516,-4026420.31512557,32824,AUS,2,2.93795187585449,0,0,
10465560.7493173,-4042130.14847082,32825,AUS,7,7.90025500668716,0,0,10.0648440243661
10466078.4844664,-4039624.46629635,32826,AUS,3,3.72811741963005,0,0,
13012012.8734684,-4416113.06183639,32827,AUS,15,8.43873057473111,0,0,27.4086645681382
11988425.8066081,-4504460.72292971,32828,AUS,15,8.26017208839464,0,0,27.1593963521939
11990536.5438736,-4505057.54685805,32829,AUS,8,5.24529255182743,0,0,14.1010089366066
12217048.6981771,-5004009.6237312,32830,AUS,5,4.39840558736706,0,0,7.50083745994511
12231899.9460773,-5097830.55202436,32831,AUS,25,18.5825565907197,0,0,50.5580703630697
12158706.9510204,-4817042.9086106,32832,AUS,18,10.2001231828928,0,0,33.4708869093617
12998164.1765945,-4456740.29915086,32833,AUS,11,7.91578815516472,0,0,20.5378514572788
13002035.695447,-4456919.5603105,32834,AUS,33,17.8819195723457,0,0,59.8175277091477
12998238.9225793,-4455099.68188124,32835,AUS,4,3.39966021600437,0,0,
12056441.298109,-4746506.02995922,32836,AUS,4,3.0812141162771,0,0,
12056771.4290596,-4755448.08332008,32837,AUS,108,54.3561216230926,0,0,138.990089754327
12358436.912758,-4714657.23875105,32838,AUS,12,6.42074033326566,0,0,20.9425529453188
12157984.8753939,-4251873.98518499,32839,AUS,19,17.8148273406935,0,0,38.7939936064981
12161366.8901426,-4244561.86965073,32840,AUS,26,18.7474152864342,0,0,52.2241658003322
12159413.4058751,-4242447.155769,32841,AUS,12,10.756299772541,0,0,22.6781008629083
12163651.4323089,-4237893.96632479,32842,AUS,25,19.50137459898,0,0,50.9575611272528
12161408.7407844,-4240800.96299561,32843,AUS,6,5.64122084462023,0,0,9.06749256112677
12161365.5859537,-4242002.30336817,32844,AUS,2,2.67888752223384,0,0,
12085713.1277283,-4296233.36308878,32845,AUS,33,26.9735896656933,0,0,66.5933001069463
12089348.8161256,-4291840.25307113,32846,AUS,26,20.8834600691204,0,0,53.1695023896632
12056447.7689903,-4763444.62509963,32847,AUS,14,8.63405927734756,0,0,26.2490772634422
